"Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Ratings"
"Taj Palace Houseboat || Kashmir Glory Travels,4.1,kashmir,Free breakfast,Free Wi-Fi,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,2097,"
"Octave Parkland Suites,4.3,nagpur,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,2099,"
"Colonels Retreat,4.8,kashmir,Sleeps 4,2 bedrooms,Air conditioning,Airport shuttle,Smoke-free,Free parking,Free Wi-Fi,No beach access,No elevator,2100,"
"New Continental Park Hotel,3.9,vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2100,"
"Luit Vista Guest House (A boutique Heritage property),4.3,guwahati,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Kid-friendly,Smoke-free,2106,"
"Royal Tusker Luxury Service Apartments,4.9,mysore,Free Wi-Fi,Free parking,Air conditioning,Spa,Breakfast,Kitchen,Airport shuttle,Full-service laundry,Accessible,2107,4.2"
"DCorbiz Hotel & Restaurant,4.0,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2108,4.2"
"The South Gate By WB Hotels,3.9,trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0,2111,"
"The Moziac Hotel,4.0,gwalior,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Restaurant,Room service,Kitchen,Full-service laundry,2116,3.8"
"THE PRABHA INTERNATIONAL HOTEL & CATERERS,4.0,gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2116,3.8"
"Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123,4.1"
"Hotel The Grand Palace,4.1,ghaziabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Room service,2131,"
"Hotel The Grand Palace,4.1,ghaziabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Room service,2132,"
"Treebo Trend Pal Comfort - Hotel in Jamshedpur,4.2,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2142,"
"THE PRABHA INTERNATIONAL HOTEL & CATERERS,4.0,gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2158,3.8"
"The Cennet Ranchi,4.4,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2160,"
"SS BeachResort,4.0,varkala,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,2160,4.5"
"Villa Sentosa,4.1,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2168,4.1"
"Hotel Rajpur Heights,4.0,dehradun,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2169,3.9"
"Hotel Krishna Sagar NH 24,3.7,ghaziabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2170,"
"HOTEL VIJAY PARK INN, RAMNAGAR, COIMBATORE, TAMILNADU,4.1,coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2177,4.1"
"Comfort Inn Donil,3.8,vadodara,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Restaurant,2179,"
"The Damodar Retreat,4.6,durgapur,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,2183,"
"7 Wonders Hotel & Restaurant,4.1,gandhinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2190,"
"Hotel Ambience,3.9,gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191,3.8"
"Hotel Ambience,3.9,gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191,3.8"
"Sparsa Kanyakumari,3.8,kanyakumari,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,2192,4.1"
"Livaana (Formerly known as Vivaana),3.8,mysore,Breakfast,Free Wi-Fi,Free parking,Pool,Bar,Restaurant,Room service,Kitchen,Airport shuttle,2193,4.2"
"Hotel President Inn,3.8,gandhinagar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Full-service laundry,Smoke-free,2194,"
"Tulips Homestay | Studio Rooms & Wi-Fi,4.3,mysore,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2195,4.2"
"Raghunandan Resort,4.2,nashik,0,0,0,0,0,0,0,0,0,2195,4.0"
"Hotel Grand Ecotel,4.2,aurangabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2204,3.7"
"Treebo Trend Archie Regency,4.0,ranchi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2205,"
"Hotel Tri Sea,4.1,kanyakumari,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,2215,4.1"
"Itsy by Treebo - Oasis Pride,4.0,nashik,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Full-service laundry,Accessible,Kid-friendly,2217,4.0"
"Hotel Golden Orchid,4.0,lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,2218,4.2"
"Hotel Gouri Inn,3.9,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2225,"
"Hotel Royal Park 22,4.3,chandigarh,3-star hotel,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,2231,4.2"
"Treebo Trend C Plaza - MG Road Vijayawada,4.3,vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2235,"
"Luxury Stay in Mall with PVR, Shopper Stop, Lifestyle, Food Court With All Brands,2.6,ghaziabad,Sleeps 2,1 bedroom,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,2237,"
"JMC HOTEL S GRANDE INDORE,4.6,indore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2239,"
"Hotel Heraa International - The Heraa Inn,4.6,mangalore,0,0,0,0,0,0,0,0,0,2239,"
"HOTEL HILL CITY,4.4,gandhinagar,Free Wi-Fi,Paid parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,0,0,0,2240,"
"Hotel Om Inn,4.9,gandhinagar,0,0,0,0,0,0,0,0,0,2240,"
"Hotel Om Inn,4.9,gandhinagar,0,0,0,0,0,0,0,0,0,2240,"
"The Gopinivas Grand,4.5,kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Beach access,Restaurant,Room service,Full-service laundry,2240,4.1"
"7 Apple Hotel - Aurangabad,4.0,aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2244,3.7"
"Morvee Hotels Durgapur,4.4,durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245,"
"Morvee Hotels Durgapur,4.4,durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245,"
"Hotel Sapphire Opposite Golden Temple,4.1,amritsar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2246,4.4"
"Hotel Royal Park,3.6,ghaziabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,2258,"
"Prince Park Farm House,3.9,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258,4.1"
"Hotel Solaris,4.0,indore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2259,"
"Hotel Grand Residency,4.0,jamshedpur,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2281,"
"The Onyx Hotel - Hotel in Jamshedpur,4.3,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2284,"
"Mango Tree Courtyard,4.7,dehradun,Free breakfast,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,0,2285,3.9"
"Hotel Samrat Heavens,3.6,meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Restaurant,Room service,2289,"
"Hotel Taj Residency,3.8,kashmir,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2290,"
"Hotel Samrat Heavens,3.6,meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Restaurant,Room service,2298,"
"RSVP NAGPUR(Restro-bar,Rooftop & Rooms),4.0,nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2300,"
"Treebo Trend Winsome Banquet And Resort,4.6,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304,"
"Treebo Trend Winsome Banquet And Resort,4.6,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304,"
"Amritsar Grand Hotel By Levelup Hotels,4.8,amritsar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,2306,4.4"
"BR Grand Amritsar,4.4,amritsar,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2326,4.4"
"Lavit Hotel,4.2,faridabad,0,0,0,0,0,0,0,0,0,2329,"
"Hotel Siddharth inn,3.9,gandhinagar,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2333,"
"Taj Studios - Luxury Stay in Gaur City Mall (1st time in Greate Noida West),3.1,ghaziabad,Sleeps 3,1 bedroom,Air conditioning,Elevator,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,2335,"
"Red Orchid Hotel Kanpur,4.3,kanpur,Free breakfast,Free Wi-Fi,Paid parking,Bar,Restaurant,Room service,Kitchen,Full-service laundry,0,2335,"
"Hotel Ocean Heritage,4.0,kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,2335,4.1"
"La Grrande Malar - The Boutique Hotel Pondicherry,4.4,pondicherry,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2344,4.1"
"Hotel Singaar International,3.5,kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,2350,4.1"
"Regenta Inn Vadodara,4.0,vadodara,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,2352,"
"Airport Guest House Guwahati,4.0,guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2354,"
"Radhika Ex,3.9,aurangabad,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Kid-friendly,Smoke-free,0,2357,3.7"
"Hotel Shubham Palace - Karmanghat,4.3,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2371,4.1"
"Treebo Trend Noida Grand,4.0,noida,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,Business center,0,2371,"
"Treebo Trend House Inn - Hotel in Noida,3.7,noida,3-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,2378,"
"Hotel Maitrayee,4.6,nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2384,"
"Tulips Homestay Mysore,4.4,mysore,Sleeps 4,Airport shuttle,Cable TV,Wheelchair accessible,Free parking,Free Wi-Fi,No air conditioning,No beach access,No elevator,2387,4.2"
"Park prime hotel,3.9,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2388,"
"Status club business Hotel,3.9,kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2395,"
"Hotel Parkview,4.0,chandigarh,0,0,0,0,0,0,0,0,0,2398,4.2"
"Hotel Casa Vadodara (Treebo Trend Casa),3.9,vadodara,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2400,"
"Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2401,"
"Hotel Mayura Hoysala Mysuru,4.1,mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2419,4.2"
"Advantage Inn,4.6,allahabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Room service,Full-service laundry,Smoke-free,0,0,2423,"
"The Roseman Hotel & Suites,4.3,ghaziabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2426,"
"FabHotel Accord - Hotel in Ranchi Railway Station, Ranchi,4.6,ranchi,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Room service,Kid-friendly,0,2426,"
"The Amaya Inn,4.0,noida,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2427,"
"Hotel Pawan Putra,4.1,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0,2436,4.3"
"Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438,"
"The AVR Hotel,4.1,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2438,"
"Treebo Trend Lalaji'S Executive,3.9,aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2444,3.7"
"Treebo Trend Admiral Suites,3.5,aurangabad,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,2451,3.7"
"Itsy By Treebo - Corner stay,3.8,coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Full-service laundry,Kid-friendly,2453,4.1"
"The Grand Radiant-3 Star Hotel in Lucknow,4.0,lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2453,4.2"
"HolidayVilla Amritsar,4.9,amritsar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,2455,4.4"
"Ginger Vadodara,3.9,vadodara,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2462,"
"Bharat Guest House by Golden Plate,4.2,ghaziabad,0,0,0,0,0,0,0,0,0,2464,"
"Hotel Paramount Suites & Service Apartments (Mangalore),4.5,mangalore,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Business center,0,2464,"
"Casa Seaesta Beach Cottages and Suites,3.6,goa,Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,2466,4.5"
"Hotel Prayag Inn,3.9,allahabad,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2470,"
"Hotel Gulmor - Hotel in Ludhiana,4.0,ludhiana,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2472,"
"The Citi Residenci Hotel,4.2,durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2473,"
"Serenity Bangla, Amritsar,4.2,amritsar,Sleeps 4,1 bedroom,Air conditioning,Fireplace,Kitchen,Free parking,Free Wi-Fi,No crib,No elevator,2485,4.4"
"Mango Hotels Vybrant,4.1,vijayawada,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2486,"
"Hyphen Business Hotels,3.8,noida,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2487,"
"Treebo Trend Seven Suites,3.5,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488,"
"The Grand Alora | Best Family Restaurent in Meerut,4.7,meerut,0,0,0,0,0,0,0,0,0,2492,"
"Chetinaad Courtyard,4.1,coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2500,4.1"
"iStay - Hotels in Coimbatore,4.3,coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2502,4.1"
"Jardin Hotels,4.2,indore,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,2508,"
"KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2509,"
"The Shelter Heritage A Boutique Hotel,4.5,srinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Golf,Full-service laundry,2510,4.5"
"StayBird - B Suite, Business Hotel,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512,4.1"
"Hotel J P International,3.7,aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2513,3.7"
"Taramati Baradari Resort,4.2,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2520,4.1"
"Maison Petite Singapore,3.9,pondicherry,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521,4.1"
"Hotel Vandu International,4.0,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2526,"
"Hotel Bhandara Park,4.0,hazaribagh,Free Wi-Fi,Kitchen,Full-service laundry,0,0,0,0,0,0,2527,"
"Natures Blessing,4.9,chandigarh,Sleeps 7,3 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,2528,4.2"
"Hotel Satkar,4.8,varanasi,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,2528,4.5"
"Hotel Mayura Hoysala Mysuru,4.1,mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2531,4.2"
"Amara Hotel,4.1,chandigarh,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,2533,4.2"
"The Taj Studios .Com,4.0,noida,0,0,0,0,0,0,0,0,0,2535,"
"Citrus Prime Raipur,4.2,raipur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2544,"
"JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550,4.1"
"Hotel Bhagyaraj Palace -Best Hotel In Kanpur,4.2,kanpur,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,2560,"
"Hotel Aranya Vihar,4.2,hazaribagh,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2563,"
"Club Paraiso,4.3,raipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,2564,"
"The Manor Hotel,3.9,aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2566,3.7"
"Hotel Centella,4.1,gwalior,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,0,2567,3.8"
"Treebo Trend Grand Euro,4.7,indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,Kid-friendly,2570,"
"Treebo Trend Umal Homestay,4.5,guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2572,"
"Aurangabad Gymkhana Club Hotel,4.1,aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2573,3.7"
"The Citi Residenci Hotel,4.2,durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2576,"
"RESTEL STUDIO FLATS,4.2,hyderabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle,2576,4.1"
"THE VILLAGE,3.0,varkala,Sleeps 24,7 bedrooms,Air conditioning,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,No elevator,2576,4.5"
"Kapoor's Homestay Chandigarh,3.2,chandigarh,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2580,4.2"
"Grand Plaza Hotel,3.9,mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Airport shuttle,Kid-friendly,0,2580,"
"Tulip Arena | Hotel, Club & Events by SGL |,4.6,raipur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2586,"
"The Peerless Inn, Durgapur,4.0,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2589,"
"The Peerless Inn, Durgapur,4.0,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2589,"
"Hotel Aranya Vihar,4.2,hazaribagh,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2600,"
"Krishna vatika, Krishna nagar Kanpur nagar uttar pradesh,4.2,kanpur,0,0,0,0,0,0,0,0,0,2600,"
"Nirvana Residency,4.7,nagpur,0,0,0,0,0,0,0,0,0,2600,"
"Hotel Centro,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607,4.1"
"AAGAAZ Hotel,4.4,ludhiana,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2615,"
"Landmark Inn,4.3,allahabad,Free breakfast,Free Wi-Fi,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,2622,"
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata,4.1,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2652,4.3"
"Green Serene Abode,4.9,meerut,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Airport shuttle,Accessible,Kid-friendly,2652,"
"Samargarh Resorts and hotel,3.9,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,Full-service laundry,2654,"
"Ginger Lucknow,4.0,lucknow,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2664,4.2"
"Hotel Nagpal REGENCY,3.9,ludhiana,3-star hotel,Breakfast,Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,2666,"
"HOTEL DS INTERNATIONAL & KALYANAM BANQUET HALL,4.1,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2668,"
"Treehouse London Street Amritsar,4.1,amritsar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2669,4.4"
"Crystal Palace,3.9,meerut,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,2673,"
"Treebo Trip Kiran - Hotel in Raipur,4.0,raipur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2675,"
"Treebo Trend Hotel A1,3.9,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2689,"
"Zostel Srinagar,4.5,kashmir,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Smoke-free,0,0,2690,"
"BlueBells Varanasi,3.3,varanasi,Sleeps 11,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,2700,4.5"
